Times,Track,Country,Latitude,Longitude
280,TT Circuit Assen,NL,52.9594961,6.524144237181842
168,Automotodrom Brno,CZ,49.2102429,16.4506683
131,Spa-Francorchamps,BE,34.6308023,133.9085729
125,Sachsenring,DE,50.7328604,12.47510478840264
118,Circuito de Jerez - Angel Nieto,ES,36.70499718,-6.033833198
116,Autodromo Internazionale del Mugello,IT,43.9993822,11.372364706819639
116,Le Mans,FR,48.0073849,0.1967849
114,Isle of Man,GB,54.1936805,-4.5591148
111,Monza,IT,45.6395418,9.278830418070044
102,Misano World Circuit Marco Simoncelli,IT,43.96218115,12.68403319169024
95,Hockenheim,DE,49.3188892,8.5475467
94,Circuit de Barcelona-Catalunya,ES,41.569468549999996,2.258063106666664
87,Belfast,IR,54.596391,-5.9301829
78,Phillip Island,AU,-38.50717805,145.18881031587003
77,Circuit Ricardo Tormo,ES,39.4858132,-0.6286386493285684
76,Jarama,ES,40.653576,-3.5512827
73,Silverstone Circuit,GB,52.071811600000004,-1.0142991241568577
72,Imatra,FI,61.1923342,28.7716996
72,Nurburgring,DE,50.3309196,6.940674171000003
71,Salzburgring,AT,47.822490650000006,13.15605559770756
70,Donington Park,GB,52.8283519,-1.3792870344324304
66,Mobility Resort Motegi,JP,36.53136205,140.22944924889907
66,Sepang International Circuit,MY,2.76020875,101.73686570150568
63,Anderstorp,SE,57.2829822,13.6368211
60,Lusail International Circuit,QA,25.491307499999998,51.451880709628966
56,Suzuka,JP,34.8817102,136.5836516
55,Montjuïc,ES,41.3641698,2.1580832
53,Imola,IT,44.3535145,11.7141233
46,Rijeka,YU,45.3267976,14.442208
43,Paul Ricard,FR,43.0743406,5.7963518
42,MotorLand Aragón,ES,41.0779526,-0.19532756179053087
39,Estoril Circuit,PT,38.750496998,-9.389831774
37,Red Bull Ring - Spielberg,AT,47.2221313,14.764316357509522
36,Opatija,YU,45.3349238,14.3067834
31,Oscar A. Galvez,AR,-17.9895296,-70.2408099
28,Clermont-Ferrand,FR,45.7774551,3.0819427
27,Circuit Of The Americas,US,30.13563065,-97.63662002361559
27,Nelson Piquet,BR,-22.6870728,-43.4673643
24,Indianapolis Motor Speedway,US,39.79624785,-86.23481603684723
23,Mazda Raceway,US,36.58416433,-121.75166366
22,Solitude,DE,48.8201655,2.1087663
21,Termas de Río Hondo,AR,-27.4959255,-64.8640783
21,Shah Alam,MY,3.0739429,101.5185278
19,Berne,CH,46.9484742,7.4521749
18,Phakisa Freeway,ZA,-27.904517,26.712098
18,Eastern Creek,AU,-33.8059423,150.849956
12,Shanghai Circuit,CN,31.3338869,121.22165058503592
12,San Carlos,VE,37.504936,-122.261823
12,Autódromo Internacional do Algarve,PT,37.2303635,-8.627351585983046
9,Chang International Circuit,TH,31.33997925,121.2195975921289
9,Istanbul Park Circuit,TR,40.950996196,29.402998388
9,Kyalami,ZA,-25.9970236,28.06782725511372
8,Rouen,FR,49.4404591,1.0939658
8,Nogaro,FR,43.7591667,-0.0327778
8,Tampere,FI,61.4980214,23.7603118
8,Fisco,JP,-26.7938753,-55.740375
8,Daytona,US,17.9530185,-76.9182383
7,Kristianstad,SE,56.0293778,14.1566859
7,Karlskoga,SE,59.3291667,14.5176911
6,Sentul,ID,3.178568,101.6954658
6,Hungaroring,HU,47.58264895,19.250023607154098
6,Goiania,BR,-16.680882,-49.2532691
5,KymiRing,FI,60.881011349999994,26.479084516109438
4,Hedemora,SE,60.2777918,15.9885408
3,Reims,FR,49.2577886,4.031926
3,Pertamina Mandalika Circuit,ID,-8.898523749999999,116.30516764902202
3,Mosport,CA,27.7377301,-15.6028155
3,Interlagos,BR,-23.7019315,-46.69670781252424
3,Magny Cours,FR,46.8838702,3.1480813
3,Johor,MY,2.0228821,103.3114564
3,Albi,FR,43.9277552,2.147899
2,Schotten,DE,50.48726,9.16192
